Timestamp,X,Y,Z
4.142,-0.114,1.363,0.204
4.242,-0.230,1.362,0.005
4.354,-0.262,1.389,-0.072
4.464,-0.276,1.416,-0.123
4.575,-0.281,1.419,-0.148
4.683,-0.273,1.420,-0.160
4.794,-0.263,1.420,-0.165
4.905,-0.261,1.419,-0.167
5.016,-0.262,1.421,-0.161
5.127,-0.264,1.422,-0.150
5.238,-0.254,1.430,-0.139
5.350,-0.242,1.447,-0.134
5.461,-0.225,1.478,-0.142
5.572,-0.198,1.500,-0.160
5.683,-0.170,1.505,-0.170
5.794,-0.153,1.501,-0.167
5.905,-0.148,1.495,-0.165
6.016,-0.153,1.487,-0.162
6.127,-0.168,1.483,-0.159
6.238,-0.197,1.480,-0.153
6.349,-0.230,1.465,-0.154
6.461,-0.242,1.458,-0.170
6.571,-0.247,1.462,-0.179
6.683,-0.241,1.472,-0.182
6.794,-0.235,1.488,-0.194
6.905,-0.232,1.495,-0.206
7.016,-0.231,1.497,-0.210
7.127,-0.231,1.498,-0.213
7.238,-0.231,1.492,-0.217
7.351,-0.237,1.472,-0.228
7.461,-0.240,1.469,-0.226
7.572,-0.245,1.469,-0.225
7.684,-0.254,1.467,-0.218
7.795,-0.254,1.463,-0.210
7.906,-0.253,1.456,-0.206
8.016,-0.259,1.454,-0.200
8.128,-0.253,1.453,-0.196
8.238,-0.244,1.458,-0.190
8.351,-0.210,1.468,-0.185
8.461,-0.162,1.473,-0.189
8.573,-0.102,1.468,-0.177
8.685,-0.025,1.451,-0.153
8.796,0.067,1.437,-0.121
8.906,0.162,1.430,-0.088
9.018,0.247,1.443,-0.055
9.129,0.331,1.458,-0.016
9.240,0.419,1.450,0.032
9.351,0.514,1.421,0.088
9.461,0.611,1.392,0.155
9.570,0.712,1.403,0.225
9.682,0.809,1.431,0.273
9.794,0.897,1.434,0.311
9.894,0.970,1.423,0.341
10.006,1.049,1.408,0.366
10.117,1.131,1.376,0.363
10.228,1.211,1.357,0.349
10.339,1.274,1.350,0.335
10.450,1.319,1.319,0.322
10.561,1.357,1.251,0.308
10.673,1.391,1.163,0.298
10.784,1.417,1.075,0.294
10.895,1.426,1.022,0.294
11.006,1.426,1.030,0.298
11.117,1.421,1.091,0.304
11.228,1.413,1.184,0.316
11.339,1.393,1.279,0.339
11.451,1.355,1.343,0.374
11.562,1.307,1.382,0.415
11.672,1.242,1.425,0.452
11.783,1.154,1.464,0.462
11.893,1.072,1.479,0.438
12.003,1.013,1.479,0.427
12.114,0.962,1.468,0.434
12.225,0.908,1.457,0.449
12.336,0.852,1.448,0.467
12.447,0.798,1.445,0.489
12.558,0.750,1.451,0.522
12.669,0.706,1.446,0.572
12.781,0.670,1.433,0.638
12.892,0.640,1.422,0.719
13.003,0.617,1.425,0.791
13.114,0.593,1.437,0.841
13.225,0.576,1.438,0.875
13.336,0.560,1.439,0.892
13.448,0.539,1.441,0.896
13.559,0.511,1.439,0.890
13.670,0.478,1.443,0.878
13.781,0.445,1.446,0.861
13.892,0.416,1.451,0.838
14.003,0.382,1.458,0.811
14.114,0.341,1.467,0.775
14.226,0.310,1.473,0.742
14.336,0.288,1.464,0.719
14.448,0.272,1.467,0.708
14.559,0.269,1.477,0.712
14.669,0.278,1.477,0.727
14.781,0.290,1.478,0.736
14.892,0.293,1.478,0.741
15.003,0.293,1.473,0.750
15.114,0.299,1.467,0.760
15.225,0.312,1.463,0.768
15.337,0.318,1.461,0.771
15.448,0.318,1.459,0.773
15.558,0.316,1.457,0.774
15.669,0.311,1.454,0.774
15.781,0.304,1.453,0.774
15.892,0.291,1.455,0.778
16.002,0.275,1.465,0.788
16.114,0.263,1.473,0.809
16.225,0.253,1.475,0.849
16.336,0.244,1.472,0.908
16.447,0.233,1.463,0.983
16.558,0.224,1.465,1.069
16.669,0.205,1.483,1.162
16.780,0.168,1.505,1.250
16.891,0.118,1.515,1.338
17.002,0.065,1.501,1.425
17.113,0.000,1.479,1.509
17.224,-0.080,1.478,1.592
17.335,-0.160,1.500,1.677
17.446,-0.230,1.510,1.768
17.558,-0.296,1.510,1.865
17.669,-0.361,1.491,1.965
17.780,-0.428,1.465,2.072
17.891,-0.500,1.475,2.177
18.003,-0.579,1.500,2.250
18.114,-0.658,1.505,2.304
18.225,-0.736,1.489,2.345
18.336,-0.825,1.472,2.364
18.448,-0.920,1.475,2.369
18.558,-1.004,1.489,2.382
18.669,-1.080,1.498,2.398
18.781,-1.155,1.495,2.414
18.892,-1.235,1.491,2.433
19.003,-1.309,1.490,2.452
19.119,-1.357,1.490,2.471
19.226,-1.377,1.490,2.492
19.337,-1.378,1.487,2.516
19.448,-1.362,1.480,2.542
19.559,-1.326,1.475,2.566
19.670,-1.286,1.476,2.584
19.782,-1.254,1.472,2.603
19.892,-1.237,1.472,2.622
20.004,-1.239,1.470,2.645
20.114,-1.250,1.472,2.674
20.226,-1.271,1.474,2.709
20.337,-1.299,1.478,2.744
20.448,-1.328,1.478,2.774
20.560,-1.356,1.466,2.805
20.670,-1.379,1.467,2.834
20.781,-1.397,1.480,2.865
20.892,-1.416,1.482,2.888
21.004,-1.435,1.477,2.903
21.117,-1.450,1.471,2.911
21.225,-1.456,1.469,2.919
21.337,-1.458,1.469,2.926
21.448,-1.458,1.469,2.929
21.559,-1.456,1.471,2.933
21.670,-1.455,1.476,2.937
21.782,-1.454,1.477,2.939
21.892,-1.451,1.478,2.939
22.003,-1.448,1.479,2.939
22.115,-1.447,1.481,2.939
22.225,-1.446,1.483,2.939
22.337,-1.443,1.484,2.936
22.448,-1.438,1.488,2.929
22.559,-1.432,1.492,2.921
22.670,-1.426,1.498,2.910
22.782,-1.410,1.504,2.894
22.893,-1.385,1.504,2.877
23.004,-1.358,1.514,2.856
23.115,-1.330,1.522,2.832
23.226,-1.309,1.529,2.810
23.337,-1.298,1.532,2.790
23.448,-1.297,1.532,2.776
23.559,-1.306,1.531,2.768
23.670,-1.322,1.529,2.767
23.781,-1.337,1.528,2.767
23.892,-1.351,1.523,2.767
24.002,-1.353,1.508,2.764
24.114,-1.347,1.489,2.763
24.225,-1.349,1.481,2.763
24.336,-1.357,1.476,2.763
24.447,-1.361,1.472,2.763
24.558,-1.363,1.471,2.764
24.669,-1.365,1.472,2.765
24.783,-1.366,1.473,2.765
24.891,-1.367,1.474,2.764
25.003,-1.370,1.477,2.760
25.117,-1.391,1.497,2.756
25.225,-1.414,1.517,2.760
25.336,-1.424,1.523,2.760
25.448,-1.431,1.524,2.755
25.559,-1.440,1.525,2.747
25.670,-1.449,1.525,2.737
25.781,-1.456,1.525,2.728
25.892,-1.461,1.525,2.722
26.004,-1.463,1.524,2.718
26.114,-1.463,1.522,2.717
26.225,-1.461,1.519,2.719
26.336,-1.457,1.514,2.723
26.447,-1.452,1.507,2.727
26.559,-1.447,1.495,2.728
26.670,-1.432,1.472,2.724
26.781,-1.421,1.456,2.719
26.892,-1.418,1.447,2.716
27.003,-1.416,1.444,2.716
27.115,-1.415,1.444,2.717
27.225,-1.411,1.446,2.719
27.337,-1.406,1.447,2.718
27.448,-1.402,1.448,2.717
27.558,-1.400,1.448,2.715
27.669,-1.400,1.448,2.712
27.781,-1.403,1.449,2.709
27.892,-1.426,1.463,2.707
28.003,-1.458,1.486,2.715
28.114,-1.471,1.498,2.719
28.226,-1.482,1.498,2.715
28.336,-1.503,1.498,2.698
28.448,-1.537,1.492,2.670
28.559,-1.570,1.482,2.641
28.670,-1.595,1.474,2.623
28.781,-1.613,1.470,2.616
28.892,-1.624,1.469,2.614
29.003,-1.630,1.469,2.617
29.114,-1.631,1.470,2.623
29.225,-1.623,1.472,2.634
29.337,-1.603,1.462,2.643
29.448,-1.571,1.442,2.654
29.559,-1.540,1.428,2.665
29.669,-1.525,1.423,2.676
29.781,-1.517,1.421,2.685
29.892,-1.507,1.421,2.691
30.002,-1.499,1.421,2.697
30.114,-1.492,1.422,2.702
30.225,-1.487,1.424,2.705
30.336,-1.482,1.426,2.706
30.447,-1.474,1.429,2.707
30.558,-1.460,1.435,2.708
30.669,-1.438,1.446,2.712
30.781,-1.416,1.455,2.718
30.892,-1.392,1.462,2.724
31.003,-1.362,1.470,2.729
31.115,-1.331,1.483,2.733
31.225,-1.303,1.498,2.734
31.336,-1.282,1.514,2.734
31.447,-1.263,1.520,2.736
31.558,-1.246,1.519,2.736
31.670,-1.237,1.518,2.731
31.781,-1.232,1.517,2.723
31.892,-1.232,1.512,2.710
32.003,-1.232,1.499,2.700
32.115,-1.222,1.479,2.702
32.225,-1.218,1.468,2.698
32.335,-1.222,1.466,2.688
32.448,-1.226,1.466,2.682
32.558,-1.229,1.466,2.676
32.670,-1.233,1.465,2.672
32.783,-1.237,1.464,2.667
32.892,-1.240,1.464,2.660
33.003,-1.242,1.465,2.649
33.114,-1.242,1.467,2.634
33.225,-1.241,1.471,2.611
33.336,-1.234,1.479,2.588
33.448,-1.214,1.484,2.581
33.558,-1.178,1.478,2.584
33.670,-1.134,1.471,2.593
33.781,-1.091,1.470,2.601
33.892,-1.056,1.467,2.609
34.003,-1.028,1.463,2.620
34.114,-1.012,1.461,2.635
34.225,-1.011,1.463,2.640
34.336,-1.014,1.467,2.639
34.448,-1.016,1.469,2.641
34.559,-1.020,1.469,2.643
34.670,-1.023,1.469,2.646
34.786,-1.024,1.469,2.650
34.892,-1.023,1.468,2.651
35.003,-1.022,1.467,2.650
35.112,-1.019,1.466,2.647
35.224,-1.011,1.462,2.643
35.337,-1.003,1.453,2.634
35.448,-0.997,1.447,2.628
35.559,-0.994,1.445,2.622
35.670,-0.993,1.444,2.617
35.781,-0.994,1.444,2.611
35.892,-0.994,1.445,2.603
36.003,-0.993,1.443,2.597
36.114,-0.993,1.442,2.593
36.225,-0.993,1.442,2.591
36.337,-0.992,1.443,2.592
36.448,-0.993,1.443,2.595
36.559,-0.994,1.444,2.597
36.669,-0.996,1.446,2.598
36.781,-0.998,1.448,2.598
36.892,-1.000,1.449,2.598
37.003,-1.002,1.450,2.598
37.114,-1.003,1.451,2.598
37.226,-1.004,1.452,2.598
37.336,-1.003,1.454,2.599
37.448,-1.001,1.453,2.598
37.559,-0.999,1.451,2.597
37.670,-0.997,1.449,2.595
37.781,-0.997,1.448,2.593
37.892,-0.998,1.445,2.588
38.003,-1.000,1.441,2.583
38.114,-1.003,1.436,2.575
38.225,-1.006,1.434,2.568
38.336,-1.007,1.433,2.565
38.448,-1.009,1.432,2.565
38.559,-1.010,1.432,2.566
38.670,-1.011,1.432,2.568
38.781,-1.011,1.432,2.571
38.892,-1.009,1.432,2.574
39.003,-1.007,1.433,2.578
39.114,-1.003,1.437,2.586
39.225,-1.001,1.440,2.592
39.337,-0.997,1.442,2.596
39.448,-0.993,1.443,2.600
39.558,-0.990,1.443,2.604
39.670,-0.989,1.442,2.604
39.781,-0.989,1.442,2.603
39.892,-0.991,1.443,2.600
40.003,-0.993,1.443,2.599
40.115,-0.996,1.443,2.597
40.225,-0.999,1.444,2.595
40.336,-1.001,1.445,2.593
40.447,-1.000,1.445,2.594
40.558,-0.997,1.444,2.595
40.669,-0.993,1.442,2.595
40.781,-0.991,1.441,2.595
40.892,-0.991,1.441,2.595
41.003,-0.990,1.442,2.595
41.114,-0.989,1.442,2.596
41.225,-0.987,1.443,2.596
41.336,-0.984,1.447,2.599
41.448,-0.979,1.450,2.603
41.558,-0.970,1.451,2.608
41.670,-0.958,1.450,2.618
41.781,-0.942,1.448,2.635
41.892,-0.927,1.443,2.656
42.003,-0.913,1.444,2.672
42.114,-0.895,1.443,2.679
42.225,-0.879,1.441,2.677
42.336,-0.859,1.440,2.682
42.447,-0.839,1.431,2.706
42.558,-0.816,1.422,2.754
42.669,-0.794,1.404,2.821
42.781,-0.775,1.393,2.909
42.891,-0.757,1.398,2.992
43.002,-0.735,1.409,3.064
43.114,-0.714,1.416,3.128
43.224,-0.685,1.417,3.187
43.335,-0.641,1.420,3.242
43.447,-0.589,1.430,3.292
43.559,-0.545,1.449,3.349
43.669,-0.512,1.465,3.404
43.781,-0.483,1.479,3.460
43.892,-0.452,1.485,3.518
44.003,-0.423,1.480,3.581
44.115,-0.394,1.473,3.642
44.225,-0.359,1.480,3.701
44.337,-0.325,1.481,3.745
44.448,-0.295,1.479,3.780
44.559,-0.265,1.474,3.812
44.670,-0.237,1.464,3.840
44.781,-0.215,1.444,3.874
44.892,-0.202,1.432,3.910
45.002,-0.185,1.431,3.933
45.113,-0.168,1.434,3.959
45.224,-0.153,1.432,3.994
45.335,-0.144,1.428,4.037
45.446,-0.143,1.422,4.088
45.558,-0.149,1.420,4.146
45.669,-0.160,1.421,4.207
45.779,-0.168,1.426,4.259
45.890,-0.169,1.428,4.302
46.002,-0.163,1.431,4.338
46.113,-0.156,1.429,4.374
46.224,-0.145,1.423,4.408
46.335,-0.132,1.418,4.442
46.446,-0.113,1.417,4.474
46.558,-0.082,1.420,4.502
46.668,-0.056,1.420,4.528
46.780,-0.045,1.421,4.557
46.890,-0.047,1.421,4.593
47.002,-0.062,1.418,4.638
47.113,-0.090,1.414,4.689
47.224,-0.129,1.417,4.748
47.335,-0.173,1.428,4.802
47.446,-0.211,1.437,4.842
47.557,-0.237,1.437,4.872
47.668,-0.259,1.437,4.896
47.779,-0.274,1.439,4.919
47.891,-0.277,1.436,4.947
48.001,-0.271,1.426,4.984
48.113,-0.249,1.417,5.037
48.224,-0.216,1.405,5.098
48.335,-0.181,1.397,5.170
48.447,-0.152,1.397,5.238
48.557,-0.130,1.397,5.296
48.669,-0.115,1.398,5.347
48.780,-0.107,1.396,5.399
48.891,-0.106,1.394,5.453
49.002,-0.105,1.400,5.514
49.114,-0.110,1.416,5.574
49.225,-0.120,1.438,5.636
49.336,-0.125,1.455,5.696
49.447,-0.122,1.462,5.752
49.559,-0.110,1.464,5.807
49.669,-0.091,1.457,5.862
49.780,-0.063,1.449,5.909
49.892,-0.037,1.444,5.954
50.002,-0.026,1.439,5.997
50.114,-0.032,1.434,6.040
50.224,-0.052,1.427,6.081
50.335,-0.076,1.422,6.122
50.447,-0.107,1.416,6.162
50.558,-0.147,1.417,6.201
50.669,-0.188,1.421,6.239
50.780,-0.219,1.419,6.277
50.891,-0.243,1.422,6.327
51.002,-0.261,1.425,6.384
51.114,-0.272,1.432,6.442
51.224,-0.279,1.447,6.497
51.335,-0.301,1.466,6.535
51.446,-0.332,1.481,6.556
51.558,-0.370,1.480,6.572
51.668,-0.419,1.471,6.580
51.779,-0.474,1.469,6.577
51.891,-0.525,1.471,6.574
52.002,-0.572,1.471,6.575
52.113,-0.621,1.473,6.578
52.224,-0.674,1.470,6.589
52.335,-0.726,1.464,6.608
52.447,-0.777,1.458,6.633
52.558,-0.832,1.452,6.656
52.670,-0.887,1.452,6.669
52.781,-0.942,1.453,6.668
52.892,-1.001,1.447,6.648
53.003,-1.060,1.438,6.612
53.114,-1.117,1.428,6.561
53.225,-1.168,1.427,6.497
53.336,-1.214,1.438,6.441
53.447,-1.257,1.442,6.398
53.559,-1.306,1.443,6.356
53.669,-1.361,1.438,6.306
53.781,-1.420,1.429,6.258
