Timestamp,EventName,X,Y,Z
4.113,HMD_Tracking,0.014,1.716,0.039
4.214,HMD_Tracking,0.031,1.712,0.037
4.323,HMD_Tracking,0.042,1.707,0.035
4.436,HMD_Tracking,0.056,1.704,0.029
4.545,HMD_Tracking,0.072,1.696,0.021
4.650,HMD_Tracking,0.085,1.685,0.016
4.763,HMD_Tracking,0.095,1.673,0.014
4.873,HMD_Tracking,0.099,1.665,0.016
4.985,HMD_Tracking,0.093,1.658,0.030
5.096,HMD_Tracking,0.082,1.664,0.039
5.207,HMD_Tracking,0.072,1.669,0.043
5.320,HMD_Tracking,0.064,1.669,0.045
5.431,HMD_Tracking,0.057,1.668,0.048
5.543,HMD_Tracking,0.052,1.668,0.051
5.654,HMD_Tracking,0.050,1.667,0.056
5.765,HMD_Tracking,0.049,1.668,0.060
5.874,HMD_Tracking,0.049,1.670,0.064
5.986,HMD_Tracking,0.050,1.670,0.067
6.097,HMD_Tracking,0.051,1.671,0.068
6.208,HMD_Tracking,0.049,1.673,0.067
6.320,HMD_Tracking,0.046,1.674,0.066
6.431,HMD_Tracking,0.047,1.675,0.065
6.542,HMD_Tracking,0.046,1.676,0.064
6.653,HMD_Tracking,0.043,1.677,0.063
6.765,HMD_Tracking,0.039,1.678,0.062
6.874,HMD_Tracking,0.001,1.678,0.001
6.987,HMD_Tracking,0.003,1.678,0.003
7.095,HMD_Tracking,0.001,1.678,0.004
7.206,HMD_Tracking,-0.008,1.675,0.008
7.319,HMD_Tracking,-0.020,1.669,0.012
7.429,HMD_Tracking,-0.028,1.661,0.011
7.540,HMD_Tracking,-0.037,1.657,0.006
7.651,HMD_Tracking,-0.051,1.657,-0.002
7.762,HMD_Tracking,-0.061,1.667,-0.005
7.873,HMD_Tracking,-0.061,1.683,-0.001
7.985,HMD_Tracking,-0.058,1.692,-0.001
8.095,HMD_Tracking,-0.052,1.692,-0.004
8.207,HMD_Tracking,-0.044,1.687,-0.004
8.318,HMD_Tracking,-0.035,1.678,-0.005
8.430,HMD_Tracking,-0.026,1.669,-0.003
8.541,HMD_Tracking,-0.017,1.665,0.005
8.652,HMD_Tracking,-0.006,1.660,0.011
8.764,HMD_Tracking,0.000,1.657,0.014
8.875,HMD_Tracking,-0.004,1.654,0.016
8.986,HMD_Tracking,-0.008,1.652,0.023
9.096,HMD_Tracking,-0.019,1.653,0.035
9.208,HMD_Tracking,-0.034,1.653,0.040
9.319,HMD_Tracking,-0.050,1.647,0.041
9.430,HMD_Tracking,-0.066,1.644,0.048
9.542,HMD_Tracking,-0.084,1.642,0.061
9.653,HMD_Tracking,-0.104,1.640,0.086
9.763,HMD_Tracking,-0.125,1.643,0.118
