Timestamp,X,Y,Z
4.146,0.005,1.675,0.028
4.254,-0.003,1.662,0.051
4.358,-0.001,1.661,0.060
4.472,0.011,1.661,0.063
4.584,0.035,1.662,0.061
4.693,0.063,1.667,0.047
4.805,0.090,1.680,0.023
4.917,0.113,1.696,-0.005
5.028,0.133,1.721,-0.030
5.139,0.141,1.730,-0.048
5.251,0.151,1.731,-0.063
5.362,0.163,1.727,-0.076
5.472,0.175,1.723,-0.087
5.584,0.186,1.719,-0.095
5.695,0.195,1.715,-0.096
5.807,0.193,1.695,-0.085
5.918,0.187,1.687,-0.060
6.028,0.164,1.681,-0.024
6.141,0.124,1.672,0.011
6.251,0.078,1.663,0.034
6.362,0.031,1.661,0.053
6.472,-0.007,1.652,0.074
6.584,-0.043,1.644,0.100
6.695,-0.071,1.641,0.135
6.806,-0.090,1.634,0.178
6.917,-0.102,1.631,0.222
7.029,-0.113,1.638,0.257
7.140,-0.118,1.653,0.293
7.251,-0.115,1.663,0.330
7.363,-0.113,1.674,0.371
7.474,-0.115,1.676,0.421
7.585,-0.123,1.668,0.480
7.696,-0.136,1.656,0.533
7.807,-0.160,1.648,0.568
7.919,-0.184,1.634,0.602
8.030,-0.203,1.628,0.634
8.141,-0.213,1.632,0.666
8.253,-0.219,1.636,0.689
8.365,-0.217,1.644,0.703
8.476,-0.213,1.648,0.713
8.587,-0.212,1.651,0.724
8.699,-0.210,1.649,0.732
8.810,-0.208,1.645,0.738
8.922,-0.207,1.642,0.745
9.033,-0.204,1.642,0.751
9.144,-0.198,1.649,0.755
9.255,-0.192,1.665,0.757
9.366,-0.184,1.680,0.756
9.477,-0.174,1.682,0.753
9.589,-0.167,1.675,0.751
9.699,-0.164,1.667,0.748
9.811,-0.166,1.665,0.745
9.922,-0.172,1.660,0.741
10.033,-0.183,1.653,0.736
10.144,-0.197,1.645,0.733
10.256,-0.213,1.639,0.728
10.366,-0.229,1.636,0.722
10.478,-0.241,1.635,0.713
10.589,-0.254,1.633,0.703
10.700,-0.266,1.630,0.692
10.812,-0.277,1.628,0.684
10.923,-0.287,1.630,0.676
11.034,-0.293,1.630,0.669
11.145,-0.297,1.628,0.666
11.256,-0.295,1.629,0.669
11.367,-0.289,1.635,0.680
11.478,-0.278,1.650,0.698
11.590,-0.256,1.670,0.724
11.701,-0.225,1.675,0.745
11.812,-0.196,1.681,0.771
11.923,-0.171,1.677,0.791
12.034,-0.153,1.670,0.811
12.146,-0.134,1.665,0.838
12.256,-0.109,1.665,0.868
12.368,-0.105,1.657,0.890
