Timestamp,X,Y,Z
4.142,0.240,1.384,-0.232
4.253,0.238,1.385,-0.231
4.367,0.236,1.384,-0.231
4.479,0.235,1.384,-0.232
4.589,0.233,1.384,-0.233
4.701,0.233,1.384,-0.234
4.813,0.233,1.383,-0.236
4.925,0.234,1.382,-0.238
5.036,0.236,1.380,-0.240
5.147,0.238,1.367,-0.243
5.258,0.237,1.348,-0.245
5.369,0.226,1.335,-0.244
5.480,0.203,1.324,-0.241
5.591,0.177,1.316,-0.237
5.702,0.149,1.306,-0.219
5.812,0.120,1.300,-0.185
5.923,0.092,1.295,-0.134
6.033,0.071,1.290,-0.070
6.144,0.057,1.282,0.000
6.254,0.040,1.281,0.063
6.366,0.015,1.290,0.110
6.477,-0.022,1.288,0.149
6.588,-0.077,1.285,0.185
6.699,-0.140,1.299,0.216
6.811,-0.214,1.319,0.251
6.922,-0.284,1.342,0.290
7.033,-0.340,1.362,0.329
7.145,-0.368,1.368,0.366
7.256,-0.383,1.367,0.402
7.367,-0.388,1.362,0.433
7.479,-0.381,1.352,0.462
7.589,-0.366,1.338,0.494
7.701,-0.353,1.326,0.529
7.811,-0.346,1.329,0.563
7.923,-0.352,1.340,0.586
8.034,-0.372,1.354,0.596
8.145,-0.397,1.352,0.594
8.256,-0.420,1.347,0.579
8.368,-0.447,1.341,0.556
8.479,-0.473,1.340,0.528
8.590,-0.498,1.343,0.498
8.701,-0.520,1.345,0.469
8.812,-0.538,1.357,0.448
8.921,-0.553,1.382,0.445
9.033,-0.571,1.398,0.452
9.144,-0.585,1.395,0.460
9.256,-0.597,1.393,0.459
9.368,-0.606,1.387,0.451
9.479,-0.611,1.385,0.444
9.588,-0.613,1.384,0.442
9.700,-0.615,1.385,0.446
9.811,-0.619,1.387,0.451
9.923,-0.627,1.388,0.453
10.034,-0.635,1.387,0.453
10.145,-0.639,1.389,0.451
10.256,-0.642,1.390,0.449
10.367,-0.645,1.389,0.447
10.479,-0.646,1.390,0.442
10.589,0.001,1.390,0.007
10.700,-0.002,1.391,0.021
10.811,-0.004,1.451,0.041
10.921,-0.004,1.441,0.066
11.032,0.000,1.434,0.096
11.144,0.004,1.427,0.136
11.255,0.008,1.420,0.191
11.366,0.011,1.412,0.265
11.477,0.017,1.402,0.354
11.588,0.038,1.421,0.443
11.699,0.063,1.441,0.533
11.811,0.093,1.446,0.628
11.922,0.127,1.438,0.717
12.034,0.164,1.421,0.796
12.145,0.190,1.422,0.863
12.258,0.206,1.433,0.922
12.367,0.216,1.427,0.976
12.478,0.216,1.419,1.028
12.590,0.210,1.409,1.078
12.701,0.208,1.400,1.129
