Timestamp,X,Y,Z
4.168,0.032,1.669,0.039
4.269,0.039,1.668,0.042
4.379,0.045,1.668,0.042
4.490,0.048,1.669,0.042
4.601,0.047,1.666,0.040
4.708,0.043,1.664,0.041
4.820,0.037,1.662,0.045
4.931,0.024,1.658,0.046
5.042,0.005,1.654,0.044
5.154,-0.011,1.654,0.047
5.264,-0.022,1.651,0.061
5.376,-0.033,1.642,0.090
5.487,-0.041,1.633,0.133
5.599,-0.048,1.636,0.178
5.710,-0.052,1.646,0.205
5.820,-0.056,1.656,0.218
5.932,-0.057,1.667,0.233
6.043,-0.054,1.675,0.254
6.154,-0.052,1.672,0.271
6.265,-0.049,1.666,0.292
6.377,-0.047,1.666,0.319
6.487,-0.050,1.672,0.354
6.599,-0.056,1.678,0.381
6.710,-0.064,1.676,0.391
6.821,-0.077,1.671,0.395
6.932,-0.098,1.665,0.402
7.043,-0.121,1.670,0.416
7.155,-0.140,1.675,0.422
7.266,-0.151,1.674,0.419
7.377,-0.151,1.670,0.413
7.488,-0.149,1.664,0.402
7.599,-0.142,1.663,0.395
7.710,-0.136,1.665,0.396
7.821,-0.136,1.664,0.398
7.933,-0.138,1.665,0.399
8.043,-0.139,1.665,0.399
8.155,-0.139,1.665,0.399
8.268,-0.140,1.665,0.398
8.377,-0.139,1.665,0.395
8.488,-0.136,1.666,0.386
8.599,-0.128,1.666,0.376
8.710,-0.121,1.666,0.373
8.822,-0.116,1.663,0.370
8.933,-0.115,1.663,0.366
9.044,-0.113,1.663,0.364
9.155,-0.109,1.663,0.364
9.270,-0.108,1.663,0.364
9.377,-0.107,1.663,0.363
9.488,-0.107,1.663,0.363
9.599,-0.106,1.662,0.364
9.710,-0.101,1.661,0.363
9.822,-0.091,1.658,0.360
9.933,-0.082,1.656,0.359
10.044,-0.077,1.655,0.358
10.155,-0.076,1.656,0.358
10.266,-0.079,1.657,0.357
10.377,-0.079,1.656,0.356
10.488,-0.079,1.655,0.354
10.599,-0.079,1.655,0.354
10.711,-0.079,1.656,0.354
10.822,-0.079,1.656,0.355
10.932,-0.079,1.655,0.356
11.043,-0.079,1.655,0.356
11.155,-0.079,1.655,0.357
11.265,-0.080,1.655,0.357
11.377,-0.084,1.656,0.357
11.488,-0.093,1.656,0.358
11.599,-0.106,1.659,0.358
11.710,-0.117,1.660,0.357
11.822,-0.124,1.660,0.356
11.932,-0.127,1.661,0.356
12.044,-0.126,1.661,0.357
12.155,-0.126,1.660,0.357
12.266,-0.126,1.661,0.357
12.377,-0.127,1.661,0.356
12.488,-0.127,1.661,0.356
12.599,-0.127,1.660,0.356
12.711,-0.126,1.660,0.356
12.822,-0.126,1.660,0.356
12.933,-0.127,1.660,0.356
13.044,-0.127,1.660,0.356
13.155,-0.127,1.660,0.356
13.266,-0.127,1.660,0.356
13.377,-0.127,1.660,0.356
13.489,-0.127,1.661,0.355
13.599,-0.128,1.661,0.354
13.711,-0.128,1.661,0.354
13.822,-0.128,1.661,0.354
13.933,-0.128,1.661,0.354
14.044,-0.129,1.661,0.354
14.155,-0.128,1.661,0.354
14.266,-0.128,1.661,0.354
14.377,-0.128,1.660,0.355
14.488,-0.128,1.660,0.355
14.600,-0.128,1.660,0.355
14.710,-0.130,1.660,0.359
14.822,-0.135,1.667,0.371
14.933,-0.148,1.680,0.383
15.044,-0.162,1.691,0.391
15.155,-0.174,1.696,0.392
15.266,-0.177,1.697,0.391
15.378,-0.175,1.696,0.389
15.489,-0.174,1.696,0.389
15.600,-0.174,1.696,0.388
15.710,-0.173,1.696,0.388
15.821,-0.174,1.696,0.389
15.933,-0.174,1.696,0.390
16.044,-0.173,1.696,0.390
16.155,-0.173,1.695,0.390
16.266,-0.172,1.695,0.389
16.377,-0.172,1.695,0.390
16.488,-0.172,1.695,0.389
16.600,-0.172,1.694,0.388
16.710,-0.172,1.694,0.389
16.821,-0.173,1.694,0.389
16.933,-0.172,1.694,0.389
17.044,-0.172,1.694,0.389
17.155,-0.173,1.693,0.388
17.266,-0.173,1.694,0.388
17.377,-0.174,1.694,0.389
17.488,-0.174,1.694,0.389
17.599,-0.174,1.693,0.389
17.710,-0.174,1.693,0.389
17.821,-0.174,1.693,0.388
17.933,-0.174,1.693,0.388
18.044,-0.174,1.693,0.388
18.155,-0.174,1.693,0.388
18.266,-0.173,1.692,0.388
18.377,-0.173,1.692,0.389
18.488,-0.173,1.692,0.388
18.599,-0.173,1.692,0.388
18.710,-0.173,1.692,0.388
18.821,-0.172,1.691,0.389
18.933,-0.169,1.690,0.389
19.043,-0.163,1.685,0.386
19.155,-0.153,1.677,0.378
19.266,-0.142,1.669,0.367
19.377,-0.133,1.665,0.359
19.488,-0.130,1.664,0.355
19.599,-0.127,1.664,0.354
19.710,-0.125,1.664,0.354
19.821,-0.123,1.663,0.354
19.933,-0.121,1.663,0.353
20.044,-0.120,1.662,0.353
20.155,-0.119,1.663,0.354
20.266,-0.118,1.662,0.354
20.377,-0.117,1.662,0.355
20.489,-0.116,1.661,0.356
20.599,-0.115,1.662,0.356
20.710,-0.115,1.661,0.356
20.821,-0.114,1.661,0.356
20.933,-0.114,1.661,0.357
21.044,-0.114,1.661,0.356
21.155,-0.113,1.660,0.357
21.266,-0.113,1.660,0.357
21.377,-0.113,1.660,0.357
21.488,-0.112,1.660,0.356
21.599,-0.110,1.659,0.356
21.710,-0.100,1.657,0.355
21.822,-0.089,1.656,0.354
21.933,-0.083,1.655,0.352
22.044,-0.082,1.655,0.352
22.155,-0.083,1.655,0.351
22.266,-0.084,1.656,0.352
22.377,-0.085,1.655,0.353
22.488,-0.085,1.655,0.354
22.599,-0.085,1.655,0.354
22.710,-0.086,1.655,0.354
22.821,-0.086,1.656,0.355
22.933,-0.086,1.655,0.354
23.043,-0.087,1.656,0.354
23.155,-0.087,1.655,0.354
23.266,-0.087,1.656,0.354
23.377,-0.087,1.655,0.354
23.488,-0.086,1.655,0.354
23.599,-0.085,1.655,0.355
23.710,-0.085,1.655,0.355
23.821,-0.086,1.655,0.355
23.933,-0.093,1.655,0.353
24.043,-0.109,1.656,0.349
24.155,-0.129,1.655,0.342
24.266,-0.144,1.653,0.334
