Timestamp,X,Y,Z
4.123,-0.337,1.487,0.839
4.225,-0.334,1.486,0.840
4.335,-0.334,1.486,0.840
4.447,-0.332,1.486,0.840
4.558,-0.331,1.487,0.841
4.663,-0.330,1.488,0.842
4.775,-0.330,1.488,0.842
4.883,-0.330,1.481,0.840
4.996,-0.330,1.470,0.831
5.107,-0.330,1.461,0.823
5.220,-0.327,1.457,0.819
5.331,-0.322,1.454,0.817
5.443,-0.313,1.448,0.818
5.555,-0.300,1.439,0.824
5.665,-0.284,1.433,0.833
5.771,-0.272,1.428,0.841
5.883,-0.260,1.423,0.850
5.997,-0.252,1.423,0.854
6.110,-0.242,1.423,0.859
6.222,-0.227,1.420,0.859
6.334,-0.200,1.417,0.857
6.445,-0.160,1.412,0.860
6.556,-0.104,1.405,0.867
6.667,-0.037,1.397,0.870
6.778,0.034,1.394,0.873
6.890,0.109,1.404,0.876
7.001,0.190,1.425,0.875
7.112,0.275,1.438,0.866
7.224,0.363,1.434,0.851
7.335,0.450,1.415,0.828
7.446,0.541,1.408,0.802
7.557,0.633,1.422,0.778
7.668,0.719,1.433,0.770
7.779,0.799,1.434,0.774
7.890,0.869,1.425,0.785
8.004,0.925,1.414,0.806
8.115,0.986,1.422,0.835
8.226,1.042,1.422,0.851
8.337,1.097,1.412,0.832
8.448,1.135,1.399,0.798
8.559,1.169,1.388,0.758
8.670,1.204,1.376,0.701
8.781,1.240,1.355,0.633
8.892,1.288,1.323,0.564
9.003,1.340,1.263,0.486
9.114,1.386,1.190,0.409
9.225,1.416,1.107,0.346
9.337,1.434,1.023,0.300
9.448,1.442,0.958,0.270
9.559,1.445,0.938,0.255
9.670,1.449,0.972,0.252
9.781,1.448,1.042,0.257
9.895,1.440,1.120,0.265
10.003,1.425,1.185,0.277
10.115,1.414,1.199,0.287
10.226,1.416,1.166,0.287
10.337,1.424,1.119,0.286
10.448,1.433,1.081,0.282
10.559,1.442,1.057,0.279
10.670,1.447,1.040,0.275
10.781,1.450,1.031,0.273
10.892,1.451,1.028,0.271
11.003,1.451,1.027,0.270
11.114,1.450,1.030,0.271
11.226,1.450,1.033,0.273
11.336,1.449,1.032,0.276
11.448,1.448,1.029,0.278
11.559,1.449,1.026,0.279
11.670,1.450,1.027,0.280
11.780,1.450,1.028,0.278
11.892,1.451,1.026,0.276
12.003,1.451,1.024,0.273
12.114,1.451,1.022,0.270
12.226,1.450,1.021,0.269
12.337,1.449,1.019,0.267
12.447,1.448,1.018,0.265
12.559,1.447,1.015,0.264
12.670,1.448,1.010,0.264
12.781,1.450,1.007,0.265
12.892,1.451,1.006,0.265
13.003,1.453,1.003,0.265
13.114,1.455,0.997,0.265
13.225,1.458,0.990,0.266
13.336,1.459,0.985,0.266
13.448,1.461,0.981,0.268
13.558,1.464,0.981,0.270
13.670,1.467,0.981,0.272
13.781,1.469,0.984,0.272
13.892,1.469,0.985,0.269
14.003,1.470,0.981,0.265
14.115,1.471,0.972,0.262
14.225,1.473,0.959,0.259
14.337,1.475,0.948,0.257
14.448,1.474,0.945,0.255
14.559,1.473,0.951,0.257
14.670,1.471,0.971,0.263
14.781,1.469,1.010,0.277
14.893,1.462,1.079,0.304
15.004,1.443,1.177,0.352
15.115,1.394,1.288,0.407
15.227,1.309,1.380,0.453
15.335,1.205,1.435,0.490
15.446,1.085,1.468,0.517
15.557,0.961,1.480,0.535
15.668,0.846,1.477,0.557
15.778,0.758,1.466,0.592
15.890,0.695,1.466,0.631
16.000,0.646,1.467,0.672
16.111,0.608,1.460,0.719
16.223,0.581,1.446,0.770
16.334,0.566,1.429,0.822
16.444,0.548,1.431,0.872
16.556,0.526,1.439,0.905
16.668,0.504,1.445,0.914
16.778,0.483,1.455,0.903
16.889,0.457,1.474,0.883
17.000,0.434,1.486,0.856
17.112,0.412,1.496,0.826
17.223,0.392,1.500,0.797
17.334,0.376,1.498,0.774
17.445,0.363,1.493,0.758
17.556,0.356,1.494,0.747
17.667,0.351,1.493,0.741
17.779,0.347,1.491,0.738
17.889,0.340,1.488,0.739
18.000,0.333,1.484,0.742
18.111,0.326,1.480,0.745
18.223,0.321,1.476,0.746
18.334,0.319,1.473,0.748
18.445,0.319,1.468,0.750
18.556,0.318,1.466,0.753
18.667,0.318,1.464,0.757
18.778,0.318,1.464,0.761
18.889,0.315,1.463,0.765
19.000,0.310,1.462,0.771
19.112,0.301,1.462,0.786
19.222,0.291,1.466,0.812
19.333,0.279,1.469,0.854
19.444,0.264,1.467,0.914
19.555,0.248,1.461,0.988
19.666,0.233,1.468,1.075
19.777,0.212,1.487,1.160
19.889,0.180,1.503,1.238
19.999,0.135,1.507,1.313
20.111,0.080,1.495,1.387
20.222,0.015,1.474,1.456
20.333,-0.063,1.485,1.523
20.444,-0.128,1.504,1.590
20.555,-0.182,1.508,1.667
20.666,-0.234,1.506,1.752
20.777,-0.284,1.485,1.844
20.888,-0.332,1.470,1.943
20.999,-0.391,1.481,2.031
21.110,-0.458,1.498,2.102
21.222,-0.528,1.499,2.160
21.334,-0.602,1.485,2.204
21.444,-0.681,1.474,2.225
21.556,-0.764,1.490,2.244
21.667,-0.835,1.501,2.272
21.778,-0.899,1.508,2.302
21.889,-0.963,1.505,2.334
22.000,-1.036,1.500,2.365
22.112,-1.117,1.501,2.395
22.223,-1.186,1.506,2.418
22.334,-1.233,1.504,2.435
22.445,-1.255,1.500,2.454
22.556,-1.256,1.499,2.460
22.667,-1.239,1.498,2.467
22.778,-1.205,1.495,2.478
22.890,-1.155,1.491,2.497
23.001,-1.092,1.485,2.521
23.112,-1.029,1.489,2.540
23.223,-0.978,1.498,2.555
23.334,-0.942,1.502,2.565
23.445,-0.917,1.506,2.575
23.557,-0.903,1.506,2.582
23.668,-0.896,1.507,2.586
23.779,-0.896,1.506,2.586
23.890,-0.898,1.506,2.585
24.001,-0.901,1.508,2.583
24.112,-0.904,1.506,2.581
24.223,-0.907,1.504,2.581
24.334,-0.911,1.504,2.581
24.445,-0.915,1.502,2.582
24.557,-0.917,1.502,2.582
24.668,-0.917,1.502,2.580
24.779,-0.915,1.503,2.576
24.890,-0.913,1.504,2.572
25.001,-0.912,1.504,2.570
25.112,-0.910,1.504,2.571
25.223,-0.907,1.504,2.571
25.334,-0.903,1.503,2.569
25.446,-0.898,1.503,2.568
25.557,-0.893,1.502,2.566
25.668,-0.890,1.501,2.565
25.779,-0.886,1.500,2.563
25.890,-0.885,1.501,2.563
26.001,-0.884,1.504,2.563
26.112,-0.883,1.511,2.566
26.223,-0.880,1.516,2.570
26.335,-0.877,1.519,2.574
26.446,-0.876,1.521,2.576
26.557,-0.878,1.522,2.577
26.668,-0.880,1.521,2.577
26.779,-0.881,1.518,2.577
26.890,-0.881,1.517,2.577
27.001,-0.882,1.517,2.579
27.112,-0.883,1.516,2.582
27.224,-0.883,1.516,2.585
27.335,-0.882,1.517,2.588
27.446,-0.879,1.519,2.589
27.557,-0.880,1.521,2.587
27.668,-0.884,1.522,2.587
27.779,-0.889,1.523,2.587
27.890,-0.893,1.523,2.585
28.001,-0.894,1.523,2.583
28.112,-0.894,1.522,2.580
28.224,-0.893,1.520,2.578
28.334,-0.891,1.519,2.578
28.445,-0.888,1.518,2.580
28.557,-0.882,1.518,2.584
28.668,-0.875,1.517,2.591
28.779,-0.867,1.517,2.599
28.891,-0.859,1.517,2.607
29.001,-0.853,1.518,2.614
29.112,-0.850,1.519,2.619
29.224,-0.853,1.520,2.627
29.334,-0.864,1.518,2.641
29.445,-0.885,1.511,2.664
29.557,-0.911,1.502,2.693
29.667,-0.941,1.494,2.726
29.778,-0.971,1.484,2.759
29.890,-0.999,1.471,2.794
30.000,-1.022,1.458,2.828
30.111,-1.038,1.448,2.858
30.222,-1.048,1.440,2.884
30.333,-1.055,1.432,2.905
30.444,-1.058,1.425,2.918
30.555,-1.057,1.419,2.922
30.667,-1.048,1.417,2.923
30.778,-1.037,1.417,2.924
30.889,-1.030,1.419,2.924
31.000,-1.028,1.419,2.924
31.111,-1.028,1.419,2.923
31.222,-1.030,1.419,2.921
31.333,-1.033,1.419,2.918
31.444,-1.037,1.419,2.916
31.555,-1.041,1.419,2.914
31.666,-1.043,1.418,2.912
31.777,-1.043,1.419,2.912
31.889,-1.041,1.419,2.912
31.999,-1.039,1.419,2.912
32.111,-1.036,1.418,2.913
32.222,-1.033,1.420,2.912
32.333,-1.031,1.420,2.912
32.444,-1.030,1.420,2.910
32.556,-1.030,1.420,2.909
32.666,-1.032,1.420,2.907
32.777,-1.034,1.420,2.904
32.889,-1.035,1.420,2.901
33.000,-1.036,1.420,2.898
33.111,-1.036,1.420,2.897
33.222,-1.037,1.420,2.897
33.333,-1.038,1.421,2.896
33.444,-1.039,1.421,2.898
33.555,-1.042,1.420,2.902
33.666,-1.044,1.420,2.904
33.778,-1.045,1.420,2.904
33.889,-1.046,1.419,2.902
34.000,-1.046,1.419,2.901
34.111,-1.045,1.419,2.899
34.222,-1.044,1.419,2.898
34.333,-1.044,1.420,2.898
34.445,-1.043,1.420,2.898
34.555,-1.042,1.421,2.899
34.667,-1.042,1.422,2.900
34.778,-1.042,1.422,2.903
34.888,-1.043,1.423,2.905
35.000,-1.042,1.433,2.908
35.111,-1.040,1.447,2.913
35.222,-1.036,1.471,2.919
35.334,-1.027,1.487,2.927
35.445,-1.025,1.489,2.931
35.556,-1.024,1.487,2.925
35.668,-1.013,1.487,2.902
35.779,-0.999,1.484,2.881
35.890,-0.987,1.478,2.868
36.001,-0.978,1.475,2.856
36.112,-0.968,1.476,2.845
36.223,-0.960,1.476,2.831
36.334,-0.952,1.477,2.815
36.445,-0.944,1.477,2.800
36.556,-0.933,1.478,2.787
36.667,-0.921,1.481,2.779
36.779,-0.911,1.482,2.774
36.890,-0.905,1.482,2.768
37.001,-0.902,1.481,2.763
37.112,-0.903,1.481,2.758
37.224,-0.904,1.479,2.755
37.334,-0.903,1.476,2.754
37.445,-0.901,1.472,2.756
37.557,-0.898,1.468,2.760
37.667,-0.895,1.467,2.764
37.779,-0.892,1.466,2.767
37.890,-0.891,1.466,2.768
38.001,-0.894,1.464,2.768
38.112,-0.898,1.463,2.769
38.223,-0.903,1.462,2.769
38.334,-0.908,1.461,2.769
38.445,-0.912,1.460,2.770
38.556,-0.915,1.459,2.771
38.668,-0.922,1.456,2.771
38.778,-0.937,1.450,2.770
38.890,-0.951,1.445,2.772
39.001,-0.958,1.443,2.776
39.110,-0.962,1.443,2.779
39.223,-0.963,1.443,2.780
39.334,-0.964,1.443,2.779
39.445,-0.964,1.442,2.777
39.556,-0.963,1.442,2.775
39.666,-0.962,1.443,2.774
39.778,-0.960,1.444,2.774
39.889,-0.960,1.446,2.774
40.000,-0.965,1.446,2.777
40.112,-0.970,1.446,2.779
40.223,-0.972,1.446,2.781
40.334,-0.971,1.446,2.782
40.445,-0.970,1.446,2.782
40.556,-0.966,1.446,2.781
40.667,-0.960,1.447,2.780
40.778,-0.953,1.447,2.780
40.890,-0.949,1.448,2.783
41.000,-0.945,1.449,2.785
41.112,-0.943,1.449,2.786
41.223,-0.941,1.449,2.786
41.334,-0.940,1.449,2.785
41.445,-0.939,1.448,2.784
41.557,-0.938,1.448,2.783
41.667,-0.937,1.449,2.782
41.778,-0.936,1.450,2.782
41.890,-0.939,1.450,2.784
42.001,-0.945,1.449,2.787
42.112,-0.948,1.448,2.788
42.223,-0.948,1.447,2.788
42.333,-0.947,1.448,2.788
42.445,-0.950,1.450,2.790
42.557,-0.957,1.451,2.796
42.668,-0.961,1.451,2.807
42.779,-0.962,1.449,2.819
42.890,-0.970,1.447,2.831
43.001,-0.983,1.444,2.842
43.112,-0.994,1.441,2.852
43.223,-1.011,1.440,2.868
43.333,-1.032,1.437,2.885
43.444,-1.049,1.434,2.904
43.555,-1.062,1.432,2.925
43.666,-1.069,1.433,2.937
43.777,-1.072,1.441,2.933
43.888,-1.068,1.459,2.908
44.001,-1.044,1.475,2.871
44.112,-1.005,1.483,2.837
44.223,-0.967,1.484,2.814
44.334,-0.940,1.483,2.793
44.445,-0.919,1.477,2.764
44.557,-0.888,1.467,2.729
44.668,-0.847,1.457,2.698
44.778,-0.804,1.456,2.678
44.890,-0.764,1.460,2.659
45.001,-0.733,1.461,2.634
45.112,-0.708,1.462,2.605
45.223,-0.687,1.458,2.568
45.334,-0.669,1.454,2.521
45.445,-0.661,1.445,2.469
45.556,-0.655,1.432,2.411
45.667,-0.641,1.429,2.334
45.778,-0.622,1.430,2.261
45.890,-0.594,1.433,2.202
46.000,-0.558,1.437,2.148
46.112,-0.516,1.431,2.093
46.223,-0.465,1.419,2.035
46.334,-0.404,1.414,1.975
46.445,-0.341,1.430,1.913
46.556,-0.288,1.437,1.851
46.667,-0.247,1.441,1.787
46.778,-0.212,1.442,1.721
46.890,-0.193,1.435,1.658
47.001,-0.182,1.437,1.593
47.112,-0.163,1.443,1.528
47.223,-0.135,1.448,1.472
47.334,-0.097,1.447,1.423
47.445,-0.051,1.438,1.380
47.557,0.006,1.427,1.348
47.668,0.068,1.428,1.322
47.779,0.116,1.430,1.297
47.886,0.153,1.428,1.271
47.996,0.178,1.429,1.248
48.107,0.193,1.430,1.229
48.218,0.197,1.430,1.211
48.333,0.196,1.436,1.193
48.445,0.196,1.440,1.173
48.556,0.198,1.439,1.154
48.667,0.200,1.438,1.131
48.778,0.201,1.438,1.094
48.889,0.196,1.442,1.060
49.001,0.191,1.446,1.042
49.112,0.190,1.446,1.031
49.223,0.191,1.445,1.026
49.334,0.192,1.447,1.028
49.445,0.191,1.452,1.031
49.556,0.189,1.462,1.034
49.668,0.187,1.471,1.037
49.778,0.185,1.477,1.041
49.890,0.184,1.482,1.045
50.001,0.184,1.487,1.049
50.112,0.184,1.489,1.054
50.223,0.181,1.493,1.061
50.334,0.179,1.501,1.070
50.445,0.177,1.506,1.078
50.557,0.174,1.508,1.082
50.668,0.172,1.508,1.084
50.779,0.168,1.506,1.085
50.890,0.166,1.505,1.085
51.001,0.166,1.501,1.081
51.112,0.166,1.496,1.074
51.223,0.168,1.489,1.070
51.334,0.171,1.483,1.068
51.445,0.174,1.481,1.070
51.557,0.176,1.481,1.074
51.668,0.178,1.482,1.077
51.779,0.179,1.483,1.078
51.890,0.181,1.484,1.078
52.003,0.183,1.485,1.077
52.125,0.183,1.485,1.076
52.226,0.183,1.485,1.075
52.335,0.183,1.486,1.075
52.446,0.186,1.487,1.074
52.558,0.187,1.490,1.076
52.665,0.189,1.492,1.079
52.776,0.190,1.495,1.084
52.885,0.191,1.498,1.087
52.996,0.190,1.500,1.085
53.107,0.188,1.504,1.082
53.220,0.183,1.507,1.076
53.331,0.177,1.509,1.069
53.440,0.173,1.510,1.067
53.554,0.171,1.509,1.066
53.664,0.170,1.509,1.066
53.776,0.170,1.508,1.067
53.887,0.170,1.508,1.070
53.999,0.171,1.509,1.072
54.108,0.171,1.509,1.072
54.221,0.171,1.508,1.073
54.332,0.170,1.507,1.072
54.443,0.169,1.506,1.073
54.555,0.168,1.506,1.074
54.665,0.168,1.506,1.076
54.776,0.169,1.503,1.077
54.885,0.170,1.500,1.079
54.996,0.172,1.497,1.080
55.109,0.175,1.497,1.080
55.220,0.178,1.496,1.080
55.331,0.180,1.495,1.081
55.443,0.180,1.495,1.081
55.555,0.181,1.494,1.081
55.666,0.182,1.493,1.082
55.777,0.183,1.492,1.081
55.887,0.184,1.491,1.081
55.999,0.185,1.491,1.080
56.110,0.185,1.491,1.079
56.221,0.186,1.490,1.079
56.332,0.187,1.490,1.078
56.444,0.188,1.490,1.076
56.555,0.189,1.490,1.075
56.666,0.190,1.490,1.075
56.777,0.190,1.490,1.075
56.888,0.190,1.490,1.075
56.999,0.190,1.490,1.075
57.111,0.190,1.490,1.074
57.213,0.190,1.490,1.074
